1,TKC Week,Basketball / Netball + Women's day,Study Night,Coffee Night + World's Greatest Shave,TKC - Faculty Dinner,Brewery tour + Frisbee,,
2,Angels and Mortals Week,Basketball / Netball,Study Night,Coffee Night,TKC - IRC Bingo,,TKC Pet Day,Angels and Mortals afters
3,,,Study Night + TKC Cricket,,,State of Origin - Hockey,Earth hour + Glebe Markets ,Long Brunch
4,,Basketball / Netball,Formal Dinner + Study Night,Coffee Night + Shwednesday!!,,,,
5,MED EXAMS,,Study Night,Coffee Night + Senior Fresher Dance-off,Bevvies and Bainting ,Baking night,Self-Care Saturday,
6,,Basketball / Netball,Study Night,Coffee Night + TKC Band Night ,Senior v Fresher Comp,,Pub Crawl,
7,Kindness Week,Basketball / Netball,,Coffee Night + Family Dinner ,Shrek Fest,,,TKC - Ruth Wheen
