"residential breakfast","continental","spinach, cheddar, egg & 
avocado breakfast quesadilla","continental","boiled eggs with sourdough 
toast soldiers","continental","breakfast burritos with refried 
beans, guacamole & tomato 
salsa 
 
pancakes with maple syrup","poached eggs with oven roasted 
tomatoes & grilled bacon 
 
buttermilk berry breakfast cake 
with whipped mascarpone"
"chefs special","","chartwells smoothie","","homemade banana bread","","",""
"continental breakfast station","continental breakfast will include the following items: 
selection of 5 breakfast cereals including corn flakes, sultana bran, weet bix, rice bubbles 
whole fresh fruit, stewed & poached fruits 
breads for toasting, including high fibre white bread, grain & seed, low gluten 
selection of spreads including vegemite, honey & jams 
hot beverages including tea & coffee, 100% orange juice, water","","","","","",""
"fruit","seasonal fresh fruit will be available throughout the day","","","","","",""
