"residential breakfast","continental","scrambled egg, spinach & feta 
wrap","continental","the green goddess breakfast 
toastie on grain bread with 
poached egg, smashed 
avocado, spinach & nut-free 
pesto","continental","breakfast omelettes with 
cheddar, tomato & herbs 
 
cinnamon french toast bites, 
whipped mascarpone","ham & cheese filled bakery 
croissants  
 
raspberry, apple & oat muesli 
muffins 
 
breakfast fried rice boxes with 
egg omelette, chicken strips, 
bean sprouts & spring 
vegetables"
"special - optional","","chartwells smoothie tuesday!","","coconut quinoa porridge with 
banana & cinnamon","","",""
"continental breakfast station","continental breakfast will include the following items: 
selection of 5 breakfast cereals including corn flakes, sultana bran, weet bix, rice bubbles 
whole fresh fruit, stewed & poached fruits 
breads for toasting, including high fibre white bread, grain & seed, low gluten 
selection of spreads including vegemite, honey & jams 
hot beverages including tea & coffee, 100% orange juice, water","","","","","",""
"fruit","seasonal fresh fruit will be available throughout the day","","","","","",""
